
\(alfa\) , alfa , simbol symbol
\(Alfa\) , Alfa , simbol symbol
\(beta\) , beta , simbol symbol
\(Beta\) , Beta , simbol symbol
\(gamma\) , gamma , simbol symbol
\(Gamma\) , Gamma , simbol symbol
\(epsilon\) , epsilon , simbol symbol
\(Epsilon\) , Epsilon , simbol symbol
\(delta\) , delta , simbol symbol
\(Delta\) , Delta , simbol symbol
\(epsilon\) , epsilon , simbol symbol
\(Epsilon\) , Epsilon , simbol symbol
\(zeta\) , zeta , simbol symbol
\(Zeta\) , Zeta , simbol symbol
\(eta\) , eta , simbol symbol
\(Eta\) , Eta , simbol symbol
\(theta\) , theta , simbol symbol
\(Theta\) , Theta , simbol symbol
\(iota\) , iota , simbol symbol
\(Iota\) , Iota , simbol symbol
\(kappa\) , kappa , simbol symbol
\(Kappa\) , Kappa , simbol symbol
\(lambda\) , lambda , simbol symbol
\(Lambda\) , Lambda , simbol symbol
\(mu\) , mu , simbol symbol
\(Mu\) , Mu , simbol symbol
\(nu\) , nu , simbol symbol
\(Nu\) , Nu , simbol symbol
\(omicron\) , omicron , simbol symbol
\(Omicron\) , Omicron , simbol symbol
\(pi\) , pi , simbol symbol
\(Pi\) , Pi , simbol symbol
\(rho\) , rho , simbol symbol
\(Rho\) , Rho , simbol symbol
\(sigma\) , sigma , simbol symbol
\(Sigma\) , Sigma , simbol symbol
\(tau\) , tau , simbol symbol
\(Tau\) , Tau , simbol symbol
\(upsilon\) , upsilon , simbol symbol
\(Upsilon\) , Upsilon , simbol symbol
\(phi\) , phi , simbol symbol
\(Phi\) , Phi , simbol symbol
\(chi\) , chi , simbol symbol
\(Chi\) , Chi , simbol symbol
\(psi\) , psi , simbol symbol
\(Psi\) , Psi , simbol symbol
\(omega\) , omega , simbol symbol
\(Omega\) , Omega , simbol symbol
